Frequency Result Magnitude
0 (-11009,0) 11009
15 (-13601.9,1796.5) 13720.1
31 (-8614.23,-1863.42) 8813.47
46 (-11429.3,-923.432) 11466.6
62 (-11476.9,-1034.22) 11523.5
78 (-10322.2,-882.566) 10359.8
93 (-10788.2,-3933.14) 11482.8
109 (-11850.6,-1199.26) 11911.2
125 (-12823.5,-6071.68) 14188.2
140 (-13597.8,-1785.78) 13714.5
156 (-12500.9,-4453.81) 13270.6
171 (-13039.5,-3596.88) 13526.5
187 (-11316.4,-3658.99) 11893.2
203 (-14501.7,-5618.7) 15552.2
218 (-14879,-4635.36) 15584.4
234 (-13788,-4993.43) 14664.3
250 (-13203.6,-7379.07) 15125.6
265 (-14030.7,-7236.39) 15786.9
281 (-14665.4,-4649.9) 15384.9
296 (-15236.7,-8848.92) 17619.9
312 (-15345.5,-9522.61) 18060
328 (-16853.5,-11649.4) 20487.7
343 (-19721.8,-6180.83) 20667.6
359 (-16504.8,-8961.77) 18780.9
375 (-18730.1,-12564.8) 22554.1
390 (-20338.1,-12440.8) 23841.4
406 (-23061.8,-12616.6) 26287.4
421 (-23258.9,-12967.9) 26629.7
437 (-20547.6,-14976.9) 25426.6
453 (-25276.1,-17511.7) 30749.6
468 (-30552.5,-20170.6) 36610.2
484 (-33236.3,-15311.3) 36593.5
500 (-26795.4,-17201) 31841.3
515 (-30243.2,-25615) 39633.1
531 (-34572.5,-33195.9) 47929.4
546 (-42035,-32398.6) 53071.8
562 (-39504.6,-31385.9) 50454.8
578 (-34156.2,-44856.7) 56380.6
593 (-48482.7,-66275.4) 82115.8
609 (-73398,-76188.6) 105792
625 (-79329.2,-73842.8) 108378
640 (-53953.5,-114595) 126661
656 (-68064.6,-277862) 286077
671 (-313362,-601338) 678088
687 (-1.55299e+06,-1.32313e+06) 2.04021e+06
703 (2.70494e+06,846512) 2.83431e+06
718 (533789,-3612.29) 533801
734 (141379,31400.2) 144824
750 (67405.8,113256) 131797
765 (86271.1,126603) 153202
781 (94141.5,96167.3) 134576
796 (71076,69689.4) 99541
812 (50365.8,70892.9) 86962.8
828 (48774.8,77625.6) 91677.3
843 (55132.2,72935.7) 91428.6
859 (52842.3,62081.9) 81525.8
875 (42948.3,56190.9) 70724.7
890 (37490.3,62994.3) 73306.2
906 (43571.3,62194.5) 75938.2
921 (45053.1,56175.2) 72010
937 (41427.1,51616.8) 66185.3
953 (37828,53262.3) 65328.6
968 (37321.8,55153.8) 66594.8
984 (42092.7,55888.3) 69966.4
1000 (38284.8,47336.8) 60881
1015 (34988.4,48779.7) 60030.4
1031 (36129.2,52255.2) 63528.9
1046 (40602,52816.2) 66618.9
1062 (42863.3,50759.4) 66436.3
1078 (39991.7,50776.4) 64634.2
1093 (37346.9,53361.6) 65132.6
1109 (41203.4,57533.5) 70766
1125 (44963.7,53840.7) 70146.7
1140 (42985.4,52632.7) 67955.4
1156 (37204.3,59846.2) 70468
1171 (41277.9,66681.1) 78423.4
1187 (50468.8,69646.8) 86010.4
1203 (51686.9,65430.6) 83382.9
