Frequency Result Magnitude
0 (-11009,0) 11009
1218 (44223.8,68934.3) 81900.5
1234 (43069,96602.7) 105769
1250 (64196.6,119119) 135316
1265 (83670,112927) 140546
1281 (51075.2,119607) 130056
1296 (-25191.6,244555) 245850
1312 (-3623.11,660311) 660321
1328 (831515,2.31883e+06) 2.46341e+06
1343 (-1.67619e+06,-1.80217e+06) 2.46118e+06
1359 (-566065,-273463) 628659
1375 (-203170,-65253.3) 213392
1390 (-61321.3,-76527.4) 98065
1406 (-46010.5,-103995) 113719
1421 (-56626.5,-86390.1) 103295
1437 (-50382.5,-58217.6) 76991.5
1453 (-26699,-46735.4) 53824.1
1468 (-17409,-49785.9) 52742
1484 (-24488.1,-49139.1) 54902.8
1500 (-19910.8,-40216.7) 44875.6
1515 (-17141.8,-34134.9) 38197.3
1531 (-11104.4,-33727.3) 35508.3
1546 (-12887,-35039.7) 37334.4
1562 (-13708.6,-32284.1) 35074.1
1578 (-11886.3,-27883) 30310.8
1593 (-8865.94,-25278.2) 26787.9
1609 (-8399.17,-25406.7) 26759.1
1625 (-9617.78,-26662.9) 28344.5
1640 (-10442.6,-21706.3) 24087.6
1656 (-10287.2,-20018.3) 22506.9
1671 (-7643.63,-17454.2) 19054.5
1687 (-7034.62,-18527.4) 19817.9
1703 (-9224.79,-14703.5) 17357.7
1718 (-7820.87,-14246.6) 16252.1
1734 (-5896.71,-13630.6) 14851.4
1750 (-6522.92,-12386.4) 13999
1765 (-7231.18,-13575.7) 15381.5
1781 (-4362.65,-9876.69) 10797.3
1796 (-6820.36,-9391.31) 11606.6
1812 (-4855.95,-11624.6) 12598.1
1828 (-5131.11,-11938) 12994
1843 (-5224.21,-9480.64) 10824.7
1859 (-4577.66,-10262.7) 11237.3
1875 (-2384.05,-11231.7) 11481.9
1890 (-1674.15,-11430) 11551.9
1906 (-2547.38,-7835.22) 8238.92
1921 (-3790.2,-7477.93) 8383.62
1937 (-3285.72,-5630.85) 6519.39
1953 (-2147.4,-7829.46) 8118.6
1968 (-846.33,-7089.76) 7140.09
1984 (673.989,-4606.37) 4655.41
2000 (-3319,-5618) 6525.16
2015 (-3067.39,-6220.69) 6935.84
2031 (-2452.94,-6264.98) 6728.07
2046 (-1755.41,-5315.64) 5597.99
2062 (-2746.17,-8462.89) 8897.3
2078 (-2120.42,-7170.28) 7477.24
2093 (-2867.29,-4864.29) 5646.47
2109 (-2315.75,-6250.9) 6666.07
2125 (-1029.27,-4785.53) 4894.97
2140 (-2058.55,-3494.99) 4056.18
2156 (-2295.46,-4854.67) 5370
2171 (-1826.79,-3939.13) 4342.1
2187 (-2193.18,-6466.9) 6828.68
2203 (94.0497,-5705.68) 5706.46
2218 (-1997.94,-5393.13) 5751.31
2234 (-1682.71,-5889.76) 6125.42
2250 (-2135.12,-2960.44) 3650.06
2265 (-2590.01,-4517.58) 5207.37
2281 (-107.788,-3806.69) 3808.22
2296 (-467.224,-6258.82) 6276.23
2312 (37.041,-3713.16) 3713.35
2328 (-2061.84,-2040.82) 2901.06
2343 (-556.715,-5529.64) 5557.6
2359 (-990.36,-3276.11) 3422.53
2375 (-342.548,-4064.62) 4079.03
2390 (87.5016,-4630.4) 4631.23
2406 (635.903,-4116.43) 4165.26
2421 (-37.9446,-2120.93) 2121.26
2437 (-4.41699,-2431.48) 2431.48
2453 (-1311.21,-4392.01) 4583.56
2468 (-781.505,-703.473) 1051.49
2484 (-1233.92,-2039.76) 2383.95
2500 (2084.8,-3146.96) 3774.88
2515 (-131.168,-2197.17) 2201.08
2531 (-883.367,-4721.05) 4802.99
2546 (1337.99,-3574.18) 3816.4
2562 (1278.47,-1698.32) 2125.74
2578 (-277.244,-2614.22) 2628.88
2593 (-379.551,-3533.08) 3553.41
2609 (427.76,-1010.86) 1097.64
2625 (981.527,-242.374) 1011.01
2640 (-1073.01,-2617.69) 2829.08
2656 (-1805.72,-2213.96) 2856.96
2671 (1160.23,-4437.89) 4587.05
2687 (-2507.46,-1651.5) 3002.47
2703 (-93.7606,-1146.51) 1150.34
2718 (390.806,-1566.48) 1614.49
2734 (-389.602,-2152.2) 2187.18
2750 (-2041.01,692.128) 2155.17
2765 (-108.512,-2534.11) 2536.43
2781 (1865.05,-2942.11) 3483.45
2796 (338.537,-827.943) 894.482
2812 (-130.511,-210.795) 247.926
2828 (3003.34,-1822.46) 3513.03
2843 (-502.418,-3370.35) 3407.59
2859 (-291.293,-1129.55) 1166.51
2875 (-1272.3,-950.93) 1588.4
2890 (1855.42,236.865) 1870.47
2906 (373.908,-998.223) 1065.95
2921 (-1046.72,-2708.91) 2904.1
2937 (1400.09,-1447.93) 2014.14
2953 (-2400.58,-2254.06) 3292.96
2968 (-1711.94,-313.215) 1740.36
2984 (-1059.98,-3218.49) 3388.54
3000 (675.202,-249.173) 719.712
3015 (1881.39,-847.599) 2063.51
3031 (1600.96,-1027.1) 1902.1
3046 (-2599.06,-1075.73) 2812.88
3062 (-2453.9,-873.404) 2604.7
3078 (-90.1698,-885.873) 890.45
3093 (69.8453,-2088.99) 2090.15
3109 (-428.794,579.782) 721.118
3125 (-25.1164,40.8869) 47.9851
3140 (3296.77,-2235.98) 3983.5
3156 (1499.8,-1520.29) 2135.58
3171 (2415.91,-1043.93) 2631.8
3187 (-1077.38,-1672.99) 1989.89
3203 (773.298,-3520.11) 3604.04
3218 (-227.768,739.453) 773.737
3234 (1416.42,-515.465) 1507.3
3250 (-2018.49,-11.7381) 2018.53
3265 (-1250.37,-1863.12) 2243.8
3281 (36.5143,-350.876) 352.771
3296 (-1479.12,-1329.9) 1989.08
3312 (777.83,94.1173) 783.504
3328 (-1668.92,-1798.29) 2453.39
3343 (203.398,-2653.91) 2661.69
3359 (2289.01,-160.211) 2294.61
3375 (1111.8,774.925) 1355.21
3390 (1136.64,-44.1714) 1137.49
3406 (218.147,-178.518) 281.881
3421 (850.737,-546.737) 1011.27
3437 (-414.03,-622.159) 747.33
3453 (1160.72,-1302.45) 1744.6
3468 (-309.93,-1888.75) 1914.01
3484 (1275.12,149.505) 1283.85
3500 (-310.673,1440.76) 1473.88
3515 (379.145,-1505.37) 1552.38
3531 (156.573,-1647.98) 1655.4
3546 (619.025,1006.44) 1181.57
3562 (-50.48,-1334.29) 1335.24
3578 (-383.744,1211.54) 1270.86
3593 (1055,-18.1349) 1055.15
3609 (273.077,-1226.18) 1256.22
3625 (715.196,-622.293) 948.026
3640 (-152.25,-1338.62) 1347.25
3656 (946.697,947.228) 1339.21
3671 (636.206,538.293) 833.377
3687 (283.371,-1588.77) 1613.85
3703 (678.842,2780.98) 2862.63
3718 (-1461.62,7.11631) 1461.64
3734 (97.1497,1732.84) 1735.56
3750 (-1209.28,-3129.55) 3355.07
3765 (1932.08,-1370.7) 2368.91
3781 (2176.38,-535.217) 2241.22
3796 (-2988.49,1594.73) 3387.36
3812 (-357.871,-549.581) 655.828
3828 (884.916,-707.427) 1132.93
3843 (-1336.02,581.398) 1457.04
3859 (1021.42,-79.2724) 1024.49
3875 (499.241,-814.477) 955.309
3890 (-1850.52,1669.24) 2492.15
3906 (1453.64,347.572) 1494.61
3921 (265.126,999.247) 1033.82
3937 (494.379,-531.524) 725.898
3953 (-753.247,-646.42) 992.592
3968 (-285.594,439.547) 524.181
3984 (0.199902,1485.32) 1485.32
