Frequency Result Magnitude
0 (-11011,0) 11011
2750 (-2002.11,673.475) 2112.35
2765 (-146.595,-2510.01) 2514.29
2781 (1891.47,-2951.63) 3505.68
2796 (338.788,-867.214) 931.041
2812 (-178.793,-232.848) 293.573
2828 (3000.36,-1812.4) 3505.27
2843 (-433.359,-3360.32) 3388.15
2859 (-366.153,-1135.65) 1193.22
2875 (-1260.64,-924.554) 1563.33
2890 (1871.91,155.463) 1878.36
2906 (308.313,-979.94) 1027.3
2921 (-1051.73,-2698) 2895.75
2937 (1363.08,-1480.23) 2012.23
2953 (-2409.38,-2327.82) 3350.2
2968 (-1777.34,-378.688) 1817.23
2984 (-1092.55,-3269.47) 3447.18
3000 (647.767,-271.365) 702.311
3015 (1887.88,-775.29) 2040.88
3031 (1546.29,-1144.14) 1923.55
3046 (-2612.31,-1033.13) 2809.18
3062 (-2456.78,-972.995) 2642.44
3078 (-172.102,-875.833) 892.582
3093 (7.88768,-2008.42) 2008.44
3109 (-461.691,494.973) 676.873
3125 (25.2929,-4.01262) 25.6092
3140 (3395.59,-2242.7) 4069.37
3156 (1576.72,-1677.85) 2302.44
3171 (2389.63,-1149.09) 2651.56
3187 (-1034.4,-1705.96) 1995.06
3203 (797.944,-3455.4) 3546.34
3218 (-211.776,754.556) 783.712
3234 (1337.12,-636.369) 1480.83
3250 (-2025.42,-17.4839) 2025.5
3265 (-1282.83,-1772.69) 2188.17
3281 (163.986,-241.461) 291.881
3296 (-1563.45,-1255.14) 2004.93
3312 (803.073,10.8334) 803.146
3328 (-1698.71,-1847.16) 2509.51
3343 (88.52,-2735.73) 2737.17
3359 (2275.18,-157.416) 2280.62
3375 (1001.95,724.815) 1236.63
3390 (1071.98,-120.101) 1078.69
3406 (251.989,-133.763) 285.291
3421 (696.686,-466.361) 838.37
3437 (-407.523,-449.629) 606.829
3453 (1090.33,-1395.8) 1771.18
3468 (-383.411,-1906.91) 1945.07
3484 (1276.61,197.981) 1291.87
3500 (-566.852,1373.52) 1485.9
3515 (353.155,-1364.16) 1409.13
3531 (70.6636,-1777.94) 1779.34
3546 (709.852,1003.8) 1229.43
3562 (-127.95,-1513.9) 1519.3
3578 (-370.446,1315.79) 1366.94
3593 (981.352,75.4973) 984.251
3609 (242.833,-1211.69) 1235.78
3625 (729.871,-711.67) 1019.4
3640 (-197.378,-1255.56) 1270.98
3656 (1020.82,803.351) 1299.02
3671 (510.192,567.285) 762.96
3687 (201.218,-1804.38) 1815.56
3703 (776,2817.8) 2922.7
3718 (-1498.14,163.416) 1507.02
3734 (289.739,1673.24) 1698.14
3750 (-1064.88,-3124.32) 3300.81
3765 (1956.36,-1583.82) 2517.11
3781 (2190.13,-483.272) 2242.81
3796 (-2994.33,1630.48) 3409.47
3812 (-232.315,-563.647) 609.646
3828 (952.02,-688.716) 1175.02
3843 (-1307.29,574.295) 1427.87
3859 (1113.29,-89.957) 1116.92
3875 (504.366,-980.395) 1102.52
3890 (-1938.66,1543.74) 2478.21
3906 (1354.58,371.123) 1404.5
3921 (312.533,910.372) 962.525
3937 (577.668,-684.957) 896.029
3953 (-685.208,-663.77) 953.992
3968 (-297.019,435.445) 527.098
3984 (144.35,1541.74) 1548.48
