Frequency Result Magnitude
0 (-11011,0) 11011
15 (-13603.4,1797.81) 13721.7
31 (-8613.82,-1862.86) 8812.96
46 (-11427.6,-922.443) 11464.8
62 (-11478.2,-1036) 11524.8
78 (-10321.5,-882.094) 10359.1
93 (-10789.4,-3932.24) 11483.6
109 (-11849,-1202.04) 11909.8
125 (-12824.2,-6071.61) 14188.9
140 (-13599.5,-1786.41) 13716.3
156 (-12501.5,-4454.61) 13271.5
171 (-13042.1,-3591.62) 13527.6
187 (-11313.8,-3658.76) 11890.7
203 (-14503.6,-5621.44) 15554.9
218 (-14878.6,-4635.95) 15584.1
234 (-13789.2,-4993.64) 14665.5
250 (-13204.9,-7378.44) 15126.5
265 (-14030.7,-7236.11) 15786.8
281 (-14664.2,-4648.88) 15383.4
296 (-15237.1,-8851.29) 17621.4
312 (-15349.7,-9520.14) 18062.3
328 (-16850.9,-11647.8) 20484.7
343 (-19724.7,-6179.95) 20670.1
359 (-16505.4,-8962.52) 18781.8
375 (-18733.2,-12564.9) 22556.8
390 (-20338.7,-12441.6) 23842.3
406 (-23060,-12613.6) 26284.3
421 (-23259.5,-12964) 26628.4
437 (-20546.9,-14974.6) 25424.6
453 (-25276.5,-17511.2) 30749.8
468 (-30550.6,-20173.5) 36610.2
484 (-33236.9,-15312) 36594.4
500 (-26797.5,-17203) 31844.2
515 (-30241.9,-25616.4) 39632.9
531 (-34572.8,-33194.1) 47928.3
546 (-42036.5,-32398.1) 53072.7
562 (-39505.1,-31384.6) 50454.4
578 (-34157,-44858) 56382.2
593 (-48484.1,-66276.7) 82117.6
609 (-73397.8,-76187.5) 105791
625 (-79330.5,-73845.1) 108381
640 (-53955.8,-114594) 126661
656 (-68064.8,-277863) 286078
671 (-313362,-601338) 678088
687 (-1.55299e+06,-1.32313e+06) 2.04021e+06
703 (2.70494e+06,846513) 2.83431e+06
718 (533789,-3611.92) 533801
734 (141379,31399.8) 144824
750 (67404.4,113256) 131796
765 (86270.2,126604) 153203
781 (94141.1,96167.8) 134576
796 (71075.8,69688.1) 99540
812 (50363.8,70891.5) 86960.4
828 (48772.6,77625.3) 91675.8
843 (55131.8,72936.9) 91429.2
859 (52840.6,62082.9) 81525.5
875 (42949.3,56187.1) 70722.3
890 (37486.8,62994.3) 73304.5
906 (43570.5,62194.2) 75937.5
921 (45054.4,56176.2) 72011.5
937 (41425.9,51612.8) 66181.4
953 (37833.4,53263) 65332.3
968 (37320.6,55158) 66597.6
984 (42083.5,55888.5) 69961
1000 (38284.2,47340.6) 60883.6
1015 (34984.9,48783.8) 60031.7
1031 (36124.2,52257.3) 63527.9
1046 (40605.6,52817.7) 66622.3
1062 (42870.3,50767.8) 66447.2
1078 (39992.2,50778.5) 64636.1
1093 (37345.5,53361.2) 65131.4
1109 (41205.4,57536.5) 70769.6
1125 (44955,53841.3) 70141.5
1140 (42974.5,52630.4) 67946.8
1156 (37209.1,59836.4) 70462.1
1171 (41267.9,66684.2) 78420.8
1187 (50464.3,69645.7) 86006.8
1203 (51684.1,65434.5) 83384.2
1218 (44222.3,68928.5) 81894.8
1234 (43074.2,96607.2) 105775
1250 (64185.4,119121) 135313
1265 (83663.5,112922) 140538
1281 (51068.7,119600) 130047
1296 (-25182.1,244556) 245849
1312 (-3618.47,660308) 660318
1328 (831526,2.31884e+06) 2.46342e+06
1343 (-1.67621e+06,-1.80217e+06) 2.4612e+06
1359 (-566064,-273457) 628656
1375 (-203181,-65251.1) 213401
1390 (-61315,-76515.5) 98051.8
1406 (-46017.9,-104008) 113733
1421 (-56627.6,-86395.2) 103300
1437 (-50385.8,-58226) 76999.9
1453 (-26701.7,-46737.5) 53827.3
1468 (-17415.5,-49779.9) 52738.4
1484 (-24501.1,-49143.1) 54912.2
1500 (-19903.9,-40220.3) 44875.8
1515 (-17129.7,-34129.8) 38187.3
1531 (-11108.7,-33738.3) 35520
1546 (-12877.8,-35049.2) 37340.1
1562 (-13725.1,-32275.6) 35072.7
1578 (-11897.8,-27883.4) 30315.7
1593 (-8870.76,-25283.8) 26794.8
1609 (-8398.66,-25399.4) 26751.9
1625 (-9607.45,-26662.4) 28340.6
1640 (-10445.8,-21702.5) 24085.5
1656 (-10277.1,-20021.4) 22505
1671 (-7651.29,-17433.9) 19039
1687 (-7027.95,-18518.8) 19807.5
1703 (-9234.82,-14700.5) 17360.5
1718 (-7824.23,-14255.4) 16261.4
1734 (-5907.46,-13647.6) 14871.3
1750 (-6532.82,-12381.2) 13999
1765 (-7223.76,-13597.7) 15397.4
1781 (-4342.56,-9878.33) 10790.7
1796 (-6825.71,-9395.33) 11613
1812 (-4841.69,-11633.1) 12600.5
1828 (-5121.91,-11933.2) 12986
1843 (-5227.75,-9497.4) 10841.1
1859 (-4596.72,-10267.9) 11249.8
1875 (-2376.15,-11208.8) 11457.9
1890 (-1688.79,-11442) 11566
1906 (-2532.07,-7820.04) 8219.75
1921 (-3773.58,-7483.82) 8381.38
1937 (-3287.52,-5634.54) 6523.49
1953 (-2133.31,-7814.06) 8100.04
1968 (-826.875,-7099.97) 7147.95
1984 (683.155,-4596.96) 4647.45
2000 (-3328,-5633) 6542.65
2015 (-3056.27,-6211.48) 6922.66
2031 (-2458.48,-6275.18) 6739.58
2046 (-1742.62,-5300.32) 5579.44
2062 (-2743.65,-8468.28) 8901.65
2078 (-2118.93,-7186.85) 7492.71
2093 (-2860.2,-4868.08) 5646.14
2109 (-2313.75,-6248.02) 6662.67
2125 (-1025.67,-4799.45) 4907.83
2140 (-2056.55,-3500.22) 4059.67
2156 (-2297.7,-4853.97) 5370.33
2171 (-1825.39,-3936.24) 4338.9
2187 (-2198.12,-6463.96) 6827.48
2203 (93.2177,-5700.89) 5701.66
2218 (-2004.38,-5389.7) 5750.34
2234 (-1683.43,-5892.74) 6128.49
2250 (-2135.67,-2957.92) 3648.34
2265 (-2594.13,-4519.65) 5211.22
2281 (-116.521,-3815.93) 3817.71
2296 (-454.543,-6264.75) 6281.21
2312 (32.358,-3712.19) 3712.33
2328 (-2059.79,-2037.74) 2897.43
2343 (-558.698,-5533.24) 5561.38
2359 (-1003.18,-3279.96) 3429.95
2375 (-334.556,-4063.32) 4077.07
2390 (94.9359,-4627.47) 4628.45
2406 (644.44,-4109.62) 4159.84
2421 (-43.3483,-2137.57) 2138.01
2437 (-2.86234,-2427.09) 2427.09
2453 (-1299.95,-4402.23) 4590.15
2468 (-787.063,-715.902) 1063.95
2484 (-1219.82,-2014.24) 2354.81
2500 (2088.24,-3127.71) 3760.76
2515 (-138.992,-2207.67) 2212.04
2531 (-891.49,-4716.05) 4799.57
2546 (1330.56,-3582.73) 3821.83
2562 (1298.86,-1665.86) 2112.37
2578 (-269.486,-2631.2) 2644.97
2593 (-362.218,-3540.14) 3558.62
2609 (458.069,-984.271) 1085.64
2625 (1019.24,-260.083) 1051.9
2640 (-1077.06,-2627.26) 2839.46
2656 (-1823.3,-2212.71) 2867.14
2671 (1207.35,-4402.11) 4564.68
2687 (-2462.38,-1691.23) 2987.23
2703 (-44.8359,-1129.74) 1130.63
2718 (426.824,-1567.8) 1624.86
2734 (-341.009,-2159.86) 2186.61
