Frequency Result Magnitude
0 (-19970,0) 19970
2500 (-12689.5,9283.89) 15723
2515 (-15577.6,9510.92) 18251.5
2531 (-13456.4,9883.41) 16696
2546 (-14800.2,8797.86) 17217.6
2562 (-13238.8,8821.74) 15908.8
2578 (-14231.2,9470.58) 17094.4
2593 (-14485.4,9887.28) 17538.1
2609 (-13579.8,9189.08) 16396.7
2625 (-14812.2,8859.03) 17259.3
2640 (-15265.5,8581.64) 17512.3
2656 (-13688.7,7743.41) 15727
2671 (-15790.7,10416.4) 18916.8
2687 (-15614.8,7385.05) 17273.1
2703 (-12811,7037.28) 14616.6
2718 (-14398.8,7979.17) 16461.9
2734 (-16897.1,7641.51) 18544.7
2750 (-14256.2,7680.79) 16193.7
2765 (-14402.5,8405.67) 16675.9
2781 (-12817.2,5518.02) 13954.6
2796 (-13506.3,5845.06) 14716.8
2812 (-14435.5,6507.61) 15834.5
2828 (-16267.9,8114.32) 18179.3
2843 (-12431.2,6527.71) 14040.8
2859 (-13575.8,7586.42) 15551.7
2875 (-13863.5,8720.75) 16378.3
2890 (-11073.4,6594.84) 12888.4
2906 (-12785.3,6546.87) 14364.1
2921 (-13469.7,5076) 14394.4
2937 (-14126.3,5568.11) 15184.1
2953 (-15861.2,6247.51) 17047.2
2968 (-13704.9,7919.28) 15828.4
2984 (-14319.8,5584.07) 15370
3000 (-12435.7,4533.52) 13236.3
3015 (-15135.9,5202.26) 16004.9
3031 (-14120.4,7957.14) 16208.1
3046 (-15992.7,6517.02) 17269.6
3062 (-9459.23,3869.09) 10219.9
3078 (-13364.1,6215.36) 14738.7
3093 (-15023.8,5859.47) 16126
3109 (-14322.2,5720.13) 15422.2
3125 (-14752.8,4176.35) 15332.5
3140 (-13506.4,4154.49) 14130.9
3156 (-11855.8,3989.92) 12509.1
3171 (-14002.6,2494.52) 14223
3187 (-13175.4,3958.31) 13757.2
3203 (-14924.9,5415.42) 15877
3218 (-14897.7,3275.86) 15253.6
3234 (-12397.8,3180.59) 12799.3
3250 (-14421.1,4510.77) 15110.1
3265 (-15034.3,3352.01) 15403.5
3281 (-13267.5,3366.32) 13687.9
3296 (-11551.2,4865.26) 12534
3312 (-11715.5,3702.04) 12286.5
3328 (-14304.5,2670.11) 14551.5
3343 (-14645.9,5186.89) 15537.3
3359 (-13786.8,2446.17) 14002.2
3375 (-15007.5,2633.76) 15236.9
3390 (-10998,3128.64) 11434.3
3406 (-12651,4536.18) 13439.6
3421 (-12646.5,815.723) 12672.8
3437 (-12083.7,3618.67) 12613.9
3453 (-14741.5,920.404) 14770.2
3468 (-13064.8,2201.36) 13248.9
3484 (-12668.9,502.883) 12678.8
3500 (-14392.4,2940.12) 14689.7
3515 (-12716.7,1766.56) 12838.8
3531 (-12399.2,2725.83) 12695.3
3546 (-12074.3,3732.63) 12638.1
