Frequency Result Magnitude
0 (-19969,0) 19969
2515 (-15563.2,9507.31) 18237.4
2531 (-13442,9879.9) 16682.3
2546 (-14768.2,8796.21) 17189.3
2562 (-13246.1,8828.99) 15918.8
2578 (-14229.9,9528.05) 17125.2
2593 (-14472.5,9895.29) 17532
2609 (-13569.6,9198.49) 16393.5
2625 (-14780.2,8850.55) 17227.5
2640 (-15289.3,8619.99) 17551.8
2656 (-13719,7780.14) 15771.6
2671 (-15800.1,10402.3) 18916.9
2687 (-15542.5,7397.53) 17213.1
2703 (-12818.4,7012.02) 14610.9
2718 (-14361.4,7966.48) 16423
2734 (-16871.6,7625.85) 18514.9
2750 (-14222.2,7708.67) 16177
2765 (-14405.4,8462.86) 16707.4
2781 (-12826.6,5497.99) 13955.3
2796 (-13544,5854.92) 14755.3
2812 (-14423.7,6415.23) 15786.1
2828 (-16243.2,8103.71) 18152.5
2843 (-12492.6,6550.82) 14106
2859 (-13617.8,7544.69) 15568.1
2875 (-13829.7,8762.24) 16371.9
2890 (-11088.9,6574.64) 12891.5
2906 (-12793.3,6567.65) 14380.6
2921 (-13506.8,5077.87) 14429.8
2937 (-14129.6,5509.5) 15165.8
2953 (-15790.2,6234.48) 16976.4
2968 (-13685.2,7886.51) 15795
2984 (-14297.7,5591.38) 15352.1
3000 (-12544.7,4583.68) 13355.9
3015 (-15122,5244.58) 16005.6
3031 (-14043.5,7976.75) 16150.8
3046 (-15965.6,6562.53) 17261.7
3062 (-9534.11,3877.91) 10292.6
3078 (-13424.9,6355.45) 14853.3
3093 (-15019.2,5794.03) 16098.1
3109 (-14209.2,5620.39) 15280.4
3125 (-14722.3,4094.89) 15281.2
3140 (-13477.7,4127.35) 14095.5
3156 (-11779.7,3987.03) 12436.2
3171 (-14087.2,2439.77) 14297
3187 (-13236.5,3908.74) 13801.6
3203 (-14822.8,5484.69) 15805
3218 (-14831.2,3078.7) 15147.4
3234 (-12356.8,3129.7) 12747
3250 (-14507.7,4529.09) 15198.3
3265 (-14989.2,3401.98) 15370.5
3281 (-13309.6,3340.13) 13722.4
3296 (-11632.3,4827.83) 12594.3
3312 (-11717.9,3773.58) 12310.5
3328 (-14336.4,2670.6) 14583
3343 (-14732,5152.19) 15606.9
3359 (-13764,2478.95) 13985.5
3375 (-14993.2,2662.49) 15227.8
3390 (-10941.8,3228.29) 11408.1
3406 (-12684.4,4671.45) 13517.2
3421 (-12640.5,853.991) 12669.4
3437 (-11957.7,3321.71) 12410.5
3453 (-14760.3,773.569) 14780.5
3468 (-13123.8,2175.05) 13302.8
3484 (-12771.9,384.132) 12777.7
3500 (-14261.2,2827.29) 14538.8
3515 (-12530.4,1808.16) 12660.1
3531 (-12311.1,2721.24) 12608.2
3546 (-12073.4,3702.64) 12628.4
3562 (-12252.2,3304.14) 12689.9
3578 (-11020.3,400.866) 11027.6
3593 (-13638.4,-173.116) 13639.5
3609 (-13616.1,-706.885) 13634.4
3625 (-13643.9,2912.43) 13951.3
3640 (-11028.5,2785.06) 11374.8
3656 (-11644.5,1877.66) 11794.9
3671 (-15338.2,724.097) 15355.2
3687 (-12380.4,1451.02) 12465.2
3703 (-12228.4,3195.47) 12639.1
3718 (-12204.1,1689.77) 12320.6
3734 (-14010.2,1672.82) 14109.8
3750 (-13578.8,495.671) 13587.9
3765 (-12919,1950.5) 13065.4
3781 (-12837.5,2546.36) 13087.6
3796 (-12176.1,464.868) 12185
3812 (-10652.4,-296.32) 10656.5
3828 (-13139.3,774.707) 13162.2
3843 (-12169.6,103.849) 12170.1
3859 (-10499,1299.55) 10579.1
3875 (-13704.5,584.102) 13716.9
3890 (-13068.1,358.998) 13073.1
3906 (-13679.1,-334.863) 13683.2
3921 (-15482.9,-477.395) 15490.3
3937 (-11801,1114.65) 11853.5
3953 (-11264.3,-784.34) 11291.6
3968 (-13250.9,-2218.35) 13435.3
3984 (-12519.4,1735.4) 12639.1
