Frequency Result Magnitude
0 (16385,0) 16385
15 (15825.8,-774.771) 15844.7
31 (15294.7,211.928) 15296.2
46 (15406.9,2076.04) 15546.2
62 (14050.4,5583.23) 15119
78 (12675.2,7241.39) 14597.9
93 (13984.4,3893.27) 14516.2
109 (13902.8,5124.94) 14817.4
125 (13935.8,4695.24) 14705.5
140 (15466.9,7312.68) 17108.5
156 (14672.2,6167.02) 15915.6
171 (16279,6518.01) 17535.4
187 (14291.3,6511.55) 15704.8
203 (13555.2,9089.66) 16320.7
218 (14857.3,8739.75) 17237.3
234 (14327.9,11081.5) 18113.3
250 (14313.3,9756.34) 17322.2
265 (12819.8,12263.2) 17740.7
281 (14688.1,13089.2) 19674
296 (16891.7,11277.7) 20310.5
312 (15486.3,13969) 20855.7
328 (14223.2,16064.1) 21455.9
343 (14749.1,17921.6) 23210.3
359 (15225.1,17801.1) 23424
375 (13711.1,19867.1) 24139.1
390 (12791.8,20451.8) 24122.8
406 (12318.4,20431.7) 23857.9
421 (13518.7,23797.5) 27369.2
437 (15086,23697.9) 28092.3
453 (15827.5,24120.2) 28849.5
468 (17923.4,26732.1) 32184.7
484 (15479.9,28807.4) 32703.1
500 (15838.1,31232.6) 35018.8
515 (17161.3,30187.7) 34724.8
531 (16059.6,34564.9) 38113.6
546 (16504.1,36536.9) 40091.5
562 (18580,39988.3) 44094
578 (19922,39342.3) 44098.8
593 (18773.8,41181.4) 45258.8
609 (16640.6,44286.8) 47309.9
625 (20923.2,47648.1) 52039.6
640 (23308.7,50399) 55528
656 (22261.8,50650.3) 55326.6
671 (18908.2,55025.3) 58183.3
687 (18528,64716.4) 67316.5
703 (25325.3,71543.2) 75893.4
718 (27993.5,71482.5) 76768.4
734 (15593.5,76462.1) 78035.9
750 (10950.1,103144) 103724
765 (21381.1,126939) 128728
781 (37882.7,133112) 138398
796 (4376.2,135184) 135254
812 (-105207,238952) 261087
828 (-185681,650149) 676145
843 (185093,2.3714e+06) 2.37861e+06
859 (-1.19116e+06,-2.24677e+06) 2.543e+06
875 (-458967,-393373) 604477
890 (-160688,-105141) 192029
906 (-27840.9,-82404.9) 86980.9
921 (-10935.6,-100200) 100795
937 (-28012.6,-82445.2) 87074.2
953 (-25774.2,-51147.8) 57274.8
968 (-11038.1,-32834.5) 34640.2
984 (-7410.03,-30835.2) 31713
1000 (-10787.6,-26034.3) 28180.8
1015 (-9362.66,-15390.9) 18014.9
1031 (-8718.78,-6274.54) 10741.8
1046 (-10112.1,2231.45) 10355.4
1062 (-10816.5,15269.3) 18712.3
1078 (-7574.07,19792.7) 21192.4
1093 (-9018.05,21609.9) 23416.1
1109 (-24528.2,33741) 41714.3
1125 (-34872.5,63673.4) 72597.5
1140 (-17587.9,93590.5) 95228.8
1156 (-4013.97,79069.6) 79171.4
1171 (-96642.2,30778.3) 101425
1187 (-463852,134203) 482876
1203 (-2.2382e+06,1.75292e+06) 2.84293e+06
1218 (941840,-1.79133e+06) 2.02384e+06
1234 (78093.7,-718511) 722742
1250 (-34361,-333617) 335382
1265 (9146.5,-177250) 177485
1281 (51536.2,-145003) 153889
1296 (45752.3,-142371) 149542
1312 (28570.4,-123363) 126628
1328 (23584.7,-98271.6) 101062
1343 (33859.7,-84426.2) 90963
1359 (34447.3,-81957.4) 88902.4
1375 (28824.6,-78477.3) 83603.5
1390 (25719.4,-70233.6) 74794.7
1406 (27701.2,-63225.4) 69027.6
1421 (29943.6,-60871.9) 67838.1
1437 (27845.7,-59610.9) 65793.9
1453 (26973.1,-56951.7) 63016.2
1468 (24202.5,-51619.1) 57011.4
1484 (26547.1,-50899.2) 57406.3
1500 (26675.2,-49735) 56437.1
1515 (23145.5,-50652.2) 55689.8
1531 (21426,-47072.9) 51719.7
1546 (24773.2,-44977.6) 51348.7
1562 (25830.9,-46653) 53326.7
1578 (22381.6,-42497.1) 48030.6
1593 (22890.1,-41897.3) 47742.5
1609 (20926.5,-42681.5) 47535.6
1625 (20596.1,-38679.9) 43821.6
1640 (20427.6,-38876.4) 43916.5
1656 (19120.7,-38084.3) 42614.8
1671 (18770.4,-34198.9) 39011.5
1687 (19709.3,-33014.2) 38449.9
1703 (19127.1,-34387.9) 39349.3
1718 (18327.4,-32624.3) 37419.7
1734 (16091.9,-31841.7) 35676.9
1750 (20182.1,-30349) 36446.9
1765 (16454.4,-29738.7) 33987.3
1781 (17727.9,-30556.9) 35327.1
1796 (17183.9,-26136.6) 31279.5
1812 (17700.8,-26810.6) 32126.7
1828 (19288.6,-27156.6) 33309.6
1843 (18169.5,-27996.3) 33375.5
1859 (17016.2,-26644.5) 31614.6
1875 (18928.5,-23142.7) 29897.7
1890 (16037.2,-24753.4) 29494.5
1906 (17310.8,-24467.1) 29971.7
1921 (19081,-25178) 31591.4
1937 (17934.8,-26108.4) 31675
1953 (15909.4,-23829.5) 28652.4
1968 (16577.3,-25225.7) 30185.2
1984 (16677.9,-23732.8) 29006.9
2000 (18415,-22528) 29096.8
2015 (17531.8,-21554.5) 27784.2
2031 (18703,-21819.6) 28738.4
2046 (17370,-21148.9) 27367.7
2062 (16672.7,-22417.9) 27938.1
2078 (17870.9,-18904.6) 26014.5
2093 (16849.3,-18521.8) 25039.1
2109 (16856.5,-20419.3) 26478.1
2125 (16850.5,-20737.5) 26720.5
2140 (18031.6,-19103.8) 26269.6
2156 (15924.2,-17745.1) 23842.5
2171 (18359.2,-18991.3) 26414.6
2187 (16021.8,-18915.8) 24789.2
2203 (15693.2,-17415.3) 23442.9
2218 (16835,-16716.3) 23724.5
2234 (16276.8,-18839.9) 24897.3
2250 (16943.9,-19284.1) 25670.4
2265 (17579.9,-14751.4) 22949.1
2281 (18201.8,-15341.9) 23805
2296 (17458.5,-14809.6) 22893.8
2312 (17076.8,-15045.6) 22759.3
2328 (17887.4,-14058.4) 22750.8
2343 (15815.7,-15544.4) 22175.7
2359 (17080.5,-14682.2) 22523.6
2375 (17267.4,-14971) 22853.8
2390 (14641.2,-15688.4) 21459.1
2406 (16813.4,-14251.4) 22040.7
2421 (16500.6,-14367.8) 21879.3
2437 (16565.9,-13448.8) 21337.8
2453 (14251.6,-15582.3) 21116.7
2468 (17284.2,-10239.3) 20089.5
2484 (16842,-14306) 22097.9
2500 (16442.9,-13528.6) 21292.9
2515 (17660.4,-12113) 21415.3
2531 (16137.9,-11103.4) 19588.7
2546 (15266.1,-13013.2) 20059.9
2562 (15964.2,-11063.2) 19423
2578 (16707.5,-12947.6) 21137.1
2593 (15914.8,-12084.7) 19983
2609 (16588.8,-10785.5) 19786.8
2625 (16219.9,-10198.4) 19159.7
2640 (16568.6,-10141.5) 19426
2656 (16162.8,-12246.6) 20278.4
2671 (17529,-10070.7) 20215.9
2687 (14571.2,-10941) 18221.6
2703 (16579,-11004.8) 19899
2718 (16686.8,-10159.1) 19536
2734 (15418.9,-9107.35) 17907.7
2750 (16515.5,-7201.18) 18017.2
2765 (15888.8,-11321.6) 19509.8
2781 (15928.6,-9735.47) 18668.1
2796 (15003.5,-7974.78) 16991.2
2812 (14805.5,-10055) 17897.1
2828 (16173.3,-11161.7) 19651
2843 (14569.1,-9496.51) 17390.8
2859 (15196.6,-7901.58) 17128.1
2875 (16644.8,-10563.1) 19713.7
2890 (15676.8,-8322.59) 17749
2906 (14322.7,-7147.44) 16007
2921 (15833.2,-7540.84) 17537.2
2937 (14172.8,-8084.08) 16316.3
2953 (16528.5,-8640.56) 18650.8
2968 (16432.9,-4799.6) 17119.5
2984 (15445.4,-8806.79) 17779.7
3000 (17431.6,-10172.3) 20182.6
3015 (13591.2,-7438.19) 15493.5
3031 (16460.2,-7823.1) 18224.7
3046 (14432.5,-9345.92) 17194.3
3062 (16468,-6653.31) 17761.2
3078 (16270.9,-8409.86) 18315.8
3093 (16805.2,-6007.85) 17846.9
3109 (15388.4,-7951.04) 17321.2
3125 (15156,-6182.97) 16368.6
3140 (18178.9,-6327.88) 19248.8
3156 (15678.2,-6693.78) 17047.4
3171 (15875.9,-5260.36) 16724.7
3187 (16197.4,-6841.6) 17583.1
3203 (17396.9,-5644.27) 18289.6
3218 (17230.6,-5643.35) 18131.2
3234 (14846.1,-6771.39) 16317.5
3250 (15767.6,-6062.19) 16892.8
3265 (16376.8,-6670.75) 17683.3
3281 (17445,-5007.99) 18149.6
3296 (15059.3,-3929.44) 15563.5
3312 (16184.6,-3510.33) 16560.9
3328 (15766.4,-834.378) 15788.4
3343 (14536,-6018.4) 15732.7
3359 (13895.6,-5599.47) 14981.3
3375 (15005.1,-5247.33) 15896.1
3390 (14633.1,-3715.58) 15097.5
3406 (15194.4,-3940.73) 15697.1
3421 (16572,-3974.83) 17042.1
3437 (14939.7,-3199.5) 15278.5
3453 (16559.6,-3159.59) 16858.4
3468 (16050.2,-3862.96) 16508.5
3484 (15295.3,-5919.9) 16401
3500 (17835.9,-4280.94) 18342.4
3515 (17988,-2546.76) 18167.4
3531 (17502.9,-4390.48) 18045.2
3546 (15798.2,-4271.49) 16365.5
3562 (14554.9,-3718.93) 15022.5
3578 (16404.2,-3337.49) 16740.2
3593 (13705.2,-3490.97) 14142.9
3609 (14863.9,-1809.29) 14973.6
3625 (14863.9,-4098.46) 15418.6
3640 (15278.7,-1086.43) 15317.3
3656 (14662.6,-1059.01) 14700.8
3671 (17258,-834.139) 17278.2
3687 (15635.7,-4329.09) 16223.9
3703 (15821.6,-802.007) 15842
3718 (19238.6,-2073.08) 19350
3734 (16421.1,-1805.41) 16520
3750 (15472.3,-1128.54) 15513.4
3765 (17009.6,-4370.87) 17562.2
3781 (13043.8,-321.737) 13047.7
3796 (16331.6,-1557.8) 16405.7
3812 (16460.1,-302.884) 16462.9
3828 (15722.9,-453.91) 15729.4
3843 (14543.2,92.3973) 14543.5
3859 (15947.7,-1029.48) 15980.9
3875 (15104.9,1162.55) 15149.6
3890 (17377.2,-2393.21) 17541.2
3906 (16031.7,-249.785) 16033.7
3921 (14016.2,-42.5094) 14016.3
3937 (15263.5,185.582) 15264.6
3953 (15213.4,-1658.14) 15303.5
3968 (15830.4,1154.77) 15872.5
3984 (15611.4,121.392) 15611.9
