Frequency Result Magnitude
0 (10749,0) 10749
2593 (-15999.1,3575.86) 16393.8
2609 (-14425.4,4249.93) 15038.4
2625 (-16887.4,4385.15) 17447.4
2640 (-16730.2,5139.02) 17501.7
2656 (-15414.5,5601.63) 16400.8
2671 (-14006.1,4219.12) 14627.8
2687 (-15475.3,4013.35) 15987.3
2703 (-13346.4,3237.39) 13733.4
2718 (-14494.2,2291.94) 14674.3
2734 (-14249.4,6252.13) 15560.7
2750 (-14945,1332.01) 15004.2
2765 (-14592.7,1533.09) 14673
2781 (-15214.2,5936.97) 16331.6
2796 (-15137.2,1918.53) 15258.3
2812 (-12222.5,2513.45) 12478.3
2828 (-14192.6,1660.66) 14289.4
2843 (-12083,3332.47) 12534.1
2859 (-15307.8,1085.51) 15346.3
2875 (-13016.5,2521.68) 13258.5
2890 (-13971.2,4698.39) 14740.1
2906 (-12783.6,3745.97) 13321.1
2921 (-13345.5,3211.85) 13726.5
2937 (-11868.5,4691.63) 12762.2
2953 (-13288.8,2630.58) 13546.6
2968 (-12302.4,4609.46) 13137.6
2984 (-13125,3668.8) 13628.1
3000 (-10681.6,4161.36) 11463.6
3015 (-12621.8,1050.83) 12665.5
3031 (-13490.1,2037.54) 13643.2
3046 (-13865.7,1876.35) 13992.1
3062 (-12554.7,3101.64) 12932.1
3078 (-12947.9,1017.35) 12987.8
3093 (-12471.1,2239.23) 12670.6
3109 (-11886.3,2193.24) 12086.9
3125 (-13494.9,1383.03) 13565.5
3140 (-12055,1792.39) 12187.6
3156 (-12686.9,1487.69) 12773.8
3171 (-13472.8,1508.57) 13557
3187 (-13035.7,1752.52) 13153
3203 (-9886.6,1186.34) 9957.52
3218 (-13423.7,46.0974) 13423.8
3234 (-12940.6,2337.26) 13150
3250 (-14899.5,2490.33) 15106.2
3265 (-11748.3,495.681) 11758.8
3281 (-13287.5,1424.69) 13363.7
3296 (-12372.9,-382.637) 12378.9
3312 (-10158.3,2609.71) 10488.1
3328 (-11554.6,2511.24) 11824.3
3343 (-12228.7,1957.58) 12384.4
3359 (-12247.8,171.281) 12249
3375 (-14566.2,4838.54) 15348.8
3390 (-13657.2,1050.6) 13697.6
3406 (-13363.5,2265.33) 13554.2
3421 (-13910.3,1635.79) 14006.2
3437 (-12247.2,1473.58) 12335.5
3453 (-11362.9,1974.85) 11533.3
3468 (-10918.7,-193.011) 10920.4
3484 (-11225.5,1094.27) 11278.7
3500 (-11209.6,-874.997) 11243.7
3515 (-10840.6,-695.954) 10862.9
3531 (-11656.1,1774.91) 11790.4
